,Count,Word
0,13,wi-fi
1,6,youth center
2,1,area iv
3,4,gately
4,1,moore
5,1,frisoli
6,1,russell
7,30,cambridge
8,1,train station
9,1,in cha property
10,1,construction activity
11,12,building
12,3,housing
13,2,internet
14,2,property
15,1,c.h.a
16,2,service
17,1,accessibility
18,28,park
19,13,school
20,1,fiber optic
21,1,verizon fio
22,2,outlet
23,3,charging station
24,4,station
25,1,charger bench
26,1,columbia st
27,1,izzy
28,1,soofa bench
29,1,pvc
30,1,subway station
31,1,solar charging station
32,1,phone
33,6,bench
34,8,bus stop
35,5,sign
36,3,location
37,14,city
38,1,carpet
39,4,child
40,3,room
41,5,main library
42,1,redesign
43,1,city website
44,1,permit submission
45,1,website
46,1,user friendly
47,1,mobile city
48,1,reporting
49,1,tracking system
50,4,app
51,3,event
52,8,resident
53,1,mindfulness event
54,1,community bulletin board
55,1,business
56,1,directory
57,1,census datum
58,1,cambr.
59,2,front
60,1,help
61,2,elderly
62,3,project
63,4,youth
64,2,income
65,2,family
66,2,improvement
67,1,citywide senior center
68,2,tool
69,2,art
70,16,library
71,1,tax form
72,2,computer
73,1,copying machine
74,1,cafe
75,3,lawn
76,2,book
77,6,laptop
78,2,tablet
79,3,kid
80,1,e-book
81,2,ipad
82,1,patron
83,2,chair
84,1,3d printer
85,2,cambridge public library
86,1,branch
87,3,valente library
88,1,dpw tool
89,1,classroom
90,1,teacher
91,1,tutor
92,1,community learning center
93,1,valente library branch
94,1,king project
95,1,window
96,1,collins branch library
97,1,one book
98,2,program
99,1,one cambridge
100,1,huron village
101,8,north cambridge
102,1,community repair
103,1,newcomer
104,1,welcome center
105,1,resource truck
106,3,center
107,1,museum
108,2,war memorial
109,1,tourist center
110,3,use
111,1,putnam cafe
112,2,river street
113,1,community learning kitchen
114,1,community room
115,1,practice room
116,1,art display
117,1,performance
118,3,space
119,1,porter sq
120,1,color porter
121,1,house demonstration
122,2,grid
123,1,neglected public space
124,1,healing garden
125,10,area
126,1,public art studio
127,1,artist
128,1,mural painter
129,1,mural
130,1,lighting system
131,1,dog-waste
132,1,tudor st
133,1,street piano for public
134,1,brattle square
135,1,marker
136,2,african american
137,1,contribution
138,1,heritage trail
139,2,panel
140,5,signage
141,1,interest
142,1,point
143,1,line item support
144,1,arts council
145,1,cambridge carnival
146,1,line item
147,1,fund
148,1,cambridge carnival intl. inc
149,1,performance space
150,1,jill brown rhone park
151,1,art & play
152,1,public art
153,1,neighborhood cookout
154,1,scavenger hunt
155,1,art mural
156,1,material
157,1,human game
158,1,creation
159,1,art mural project
160,1,trailer
161,2,equipment
162,1,neighborhood block party
163,1,block party
164,2,vending machine
165,1,solidarity fridge
166,1,refrigerator
167,1,pay
168,1,telephone
169,2,neighborhood
170,1,peace garden memorial
171,1,peace garden
172,1,life
173,1,suicide
174,1,accident
175,1,murder
176,1,building transformation
177,1,renovation
178,1,margaret fuller house
179,3,trash can
180,3,street light
181,1,cambridge electric department
182,4,pool
183,4,rindge ave
184,1,locker room
185,1,petting zoo
186,1,sullivan chamber
187,1,waste
188,1,recyling
189,1,retail space
190,2,license
191,1,condo
192,1,neighborhood meeting
193,2,neighbor
194,1,mind
195,1,time
196,1,meeting
197,1,exercise clas
198,1,gym visit
199,1,day care
200,1,child care
201,2,money
202,1,farmers market
203,1,snap-match money
204,3,solar panel
205,1,payson park
206,1,belmont
207,2,land
208,1,center kitchen
209,1,frisoli youth
210,1,pv solar panel
211,4,parking lot
212,1,solar power generation
213,1,city property
214,2,community
215,2,top
216,2,parking garage
217,1,electricity
218,2,shade
219,3,city building
220,3,energy
221,2,fitness equipment
222,1,health
223,2,polouse
224,2,monitor
225,2,traffic
226,1,power
227,1,windmill
228,9,danehy park
229,4,basketball court
230,5,russell field
231,1,start cool roof
232,1,painting roof
233,2,city park
234,1,recycling bin
235,2,number
236,1,ev charger
237,1,vehicle
238,2,replacement
239,1,street lighting
240,1,place recycling container
241,1,garbage
242,6,street
243,7,playground
244,1,reclycling bin
245,1,trash bin
246,1,recycling option
247,1,recycling basket
248,1,option
249,1,city composting
250,1,trial
251,5,bathroom
252,4,water fountain
253,1,garbage can
254,3,mt
255,2,auburn street
256,1,longfellow park
257,1,mitt mutt
258,1,recycling
259,12,lighting
260,1,st peters field
261,1,station access road
262,4,alewife
263,1,motion sensor
264,7,light
265,1,harvard sq
266,1,wastebasket
267,8,path
268,2,linear
269,3,somerville
270,2,cameron ave
271,1,garbage collection
272,1,tube
273,1,stockholm
274,1,conveyor belt
275,1,sweden
276,1,pilot program
277,1,trash barrel
278,1,cigarette butt receptacle
279,8,central square
280,1,smell
281,1,sewage
282,1,dna testing
283,1,dog waste
284,1,air polution
285,1,city truck
286,1,storm water management
287,2,green infrastructure
288,1,shopping
289,1,supermarket bag
290,1,up our park
291,1,neighborhood - community participation
292,1,rat bating
293,1,area 4
294,4,toilet
295,2,porter square
296,2,bus
297,5,person
298,4,harvard square
299,4,sennott park
300,1,clement park
301,1,raymond st park
302,2,raymond park
303,1,public bathroom
304,1,fresh pond reservation
305,1,portapotty
306,2,dana park
307,1,composting toilet
308,1,unit
309,1,bedroom
310,1,bottle filler
311,2,water bottle
312,1,bottle fill station
313,1,filling station
314,1,charle
315,1,drinking water fountain
316,1,design competition
317,1,homeless population
318,4,shelter
319,1,housing first
320,2,porter
321,2,homeless shelter
322,1,panhandling sign
323,1,homeles
324,1,outreach service
325,1,caspar
326,1,first step street outreach
327,1,install bench
328,1,clothing exchange
329,2,resource
330,1,food pantry
331,1,gym
332,1,harvard
333,5,danehy
334,1,pet therapy
335,1,study
336,1,firehouse condition
337,1,improvement replacement plan
338,1,capital
339,1,pharmacy
340,1,cv
341,1,door opener
342,1,ranger station entrance
343,1,fresh pond parkway
344,1,law
345,1,justice
346,1,community policing
347,2,safety
348,1,police officer
349,1,neuroscience
350,1,police communication
351,2,way
352,1,radio
353,1,crossing guard
354,1,ireport
355,1,security system
356,1,apartment
357,1,cha
358,2,security camera
359,1,outside
360,1,franklin street park
361,2,walden street
362,1,st. peter's field
363,2,danehy dog park
364,1,porter square t station
365,1,clement g. morgan park
366,4,swing
367,1,fitchburg cutoff path
368,15,sidewalk
369,2,island
370,1,end
371,13,mass ave
372,2,one
373,1,waterhouse square
374,1,upland rd
375,1,block
376,3,side
377,1,lafayette
378,1,post office
379,4,city hall
380,1,road test car
381,2,high school
382,1,bike safety
383,1,bike helmet
384,1,defibrillator
385,1,booth
386,1,baby changing station
387,1,pier
388,1,water
389,1,bird bath
390,2,butterfly garden
391,2,crl
392,3,garden
393,1,veteran
394,3,rooftop garden
395,1,plot
396,2,strip
397,5,community garden
398,1,sacramento street community garden
399,1,sacremento field
400,1,wellington-harrington community garden
401,1,cambridge community farm
402,1,landscaping
403,2,beautification
404,3,bridge
405,4,bu
406,2,ping pong table
407,1,plant bee
408,1,flowering plant
409,1,city tree well
410,1,planter
411,2,flower
412,13,tree
413,1,bird
414,1,aberdeen ave
415,1,bee
416,1,plant tree
417,2,median
418,1,many
419,2,avenue
420,4,mas
421,1,species
422,1,american
423,1,chestnut
424,1,chinese
425,1,fruit tree
426,1,kendall sq
427,1,shade tree
428,1,library garden
429,1,collins library
430,1,watering
431,1,care
432,1,street tree
433,2,truck
434,1,city tree
435,1,music studio equipment
436,1,@
437,2,russell youth center
438,1,music studio
439,1,dance studio
440,3,amphitheater
441,1,technology
442,1,movie center
443,1,gately youth center
444,1,interior
445,1,exterior
446,2,frisoli youth center
447,1,curtain
448,1,frisoli youth center w
449,1,item
450,1,frog pond
451,1,teen center
452,1,mall
453,7,fresh pond
454,1,game center/arcade
455,1,fresh pond mall
456,1,summer shuttle
457,1,shuttle
458,1,playstation
459,1,xbox
460,1,game
461,1,sports complex
462,1,exercise equipment
463,1,outdoor gym
464,1,circuit training equipment
465,1,health sign
466,1,adult
467,1,expand outdoor stretching & exercise equipment
468,2,parcourse
469,1,exercise
470,1,fitness trail
471,2,portion
472,1,greene rose park
473,3,broadway
474,1,stunt park
475,1,parkour
476,1,rock climbing wall
477,1,playability
478,1,place
479,1,trampoline
480,1,basketball hoop
481,1,court
482,1,sneaker
483,1,ballcourt
484,1,skate park
485,1,volleyball court
486,1,skating rink
487,1,winter
488,1,ice/roller skating rink
489,1,lake
490,1,open air natural lap pool
491,1,open acces
492,1,cinder running track
493,1,reservoir
494,1,net
495,1,tennis wall
496,1,bergin park tennis court
497,1,bottom
498,1,lawn on d
499,1,bldg
500,1,magazine st
501,1,tennis program
502,1,soccer net
503,2,golf
504,1,common
505,1,recreation
506,3,age
507,1,picnic table
508,1,back
509,2,water feature
510,1,renovate lopez street park
511,1,fire
512,1,outdoor fire pit
513,1,artful gazebo
514,1,winter oasi
515,3,grill
516,1,table
517,1,picnic area
518,1,donnelly field
519,1,cambridge common
520,1,public space
521,1,community event
522,1,glow
523,1,d
524,1,playground equipment
525,1,toddler
526,1,amigos school
527,1,kayak storage structure
528,1,entrance
529,2,seating
530,1,soccer family
531,1,lost & found
532,1,box
533,1,gatorade fountain
534,1,speaker
535,1,jack
536,1,part
537,2,dpw
538,1,vellucci park
539,1,school program
540,6,dog park
541,4,east cambridge
542,1,dog recreation
543,1,lee street
544,1,west st.
545,4,cycle track
546,2,fencing
547,3,linear park
548,1,dog
549,1,joan lorentz park
550,1,community boat house
551,1,boat dock
552,2,home
553,4,student
554,1,macbook air
555,1,cp
556,1,lunch
557,1,ccsc
558,1,computer lab
559,1,computer science teacher
560,1,learning disability
561,1,art supply
562,1,digital arts education initiative
563,1,daei
564,1,auditorium
565,1,haggerty school
566,1,bus station
567,1,windsor st. side
568,1,fletcher maynard academy
569,1,stage
570,1,maria baldwin school
571,1,tobin
572,1,vassal lane upper school
573,1,baldwin school
574,1,stuff
575,1,chain link fence
576,1,snowblower
577,1,school lunch
578,1,upper school
579,1,scholarship system
580,1,charter school
581,1,health youth local bank account
582,1,cadet platform pilot
583,1,heat lamp
584,1,glass enclosure
585,1,yellow bumper
586,1,bus stops citywide
587,4,bus shelter
588,1,opp
589,1,turnaround
590,1,comeau field
591,1,bus stop sign
592,4,car
593,1,bus arrival monitor
594,1,alpine street
595,1,prospect street
596,1,bicycle lane pavement marking
597,1,lane
598,6,bike path
599,1,everywhere
600,1,green bike lane
601,18,bike lane
602,1,3rd street
603,1,main street
604,1,trowbridge st
605,1,bigelow
606,1,bike travel
607,1,peabody st
608,1,bike route
609,1,mid-cambridge
610,1,paul dudley
611,1,putnam ave
612,1,biking lane
613,1,mit
614,1,watertown
615,1,fresh pond circle
616,1,cambridge st
617,1,o'brien highway
618,5,bike
619,4,intersection
620,1,trial deployment
621,1,cycle lane
622,1,strike post
623,2,bollard
624,1,minuteman
625,3,charles river
626,1,bicycle path
627,1,walking path
628,3,memorial drive
629,1,bicycling facility
630,1,prospect st
631,1,bike parking
632,1,residential
633,1,bike lane protector
634,1,physical barrier for bike lane in tunnel
635,1,bike infrastructure
636,2,traffic calming
637,1,auburn.
638,1,belmont st.
639,1,brattle st
640,1,bike signal
641,3,inman square
642,1,passenger
643,1,parking car
644,1,car traffic
645,1,anderson memorial bridge
646,1,accident area
647,1,vassar
648,2,biker
649,2,alarm
650,1,bikeway
651,1,combination
652,1,stormwater management
653,1,cistern
654,1,street level
655,1,pavement
656,3,ave
657,1,bike storage system
658,1,duet wheelchair bicycle tandem system
659,1,cargo bike
660,1,w
661,1,trike
662,1,electric motor assist
663,1,class
664,1,public bike station
665,1,system
666,2,bike rack
667,1,bike rental
668,2,hubway
669,1,sort
670,1,bike parking lot
671,1,storage area
672,1,job
673,2,mbtum
674,1,bike traffic light
675,1,idaho
676,8,parking
677,1,password
678,1,lock
679,1,bike stand
680,1,stop sign
681,1,oti
682,2,turn
683,3,street sign
684,1,street signage
685,1,wayfinding sign
686,1,road improvement
687,1,bike network
688,1,font street signage
689,1,visibility placement
690,1,cross street
691,2,inman
692,1,traffic light system
693,1,traffic signal
694,1,traffic flow issue
695,1,rat
696,2,bu bridge
697,1,traffic light timing
698,1,cameron & mass ave
699,1,transit signal priority
700,1,pilot
701,2,traffic light
702,1,inman sq
703,1,union square
704,1,first parish church
705,1,traffic spot
706,1,arrow
707,1,traffic light coordination
708,1,traffic study
709,1,city east
710,1,prospect
711,1,rethink lane
712,1,change signal
713,2,transit screen
714,1,kendall square
715,2,walk light
716,1,speed control crosswalk
717,1,speed-bump
718,6,crosswalk
719,1,line
720,1,pedestrian crossing
721,1,dudley st
722,1,no cambridge t
723,1,stop button
724,1,cedar street
725,1,install timer
726,1,walk
727,1,don't
728,1,spot
729,1,cameron & davi
730,1,brick
731,1,cement
732,1,stair
733,1,walk path
734,1,alewife brook parkway
735,1,walkway
736,1,handicap acces
737,1,welcome
738,1,wheelchair user
739,1,repair path
740,2,alewife station
741,1,no man's land
742,1,white street
743,1,disgrace
744,1,hancock
745,1,green
746,1,purchase gum removal equipment
747,1,howard street
748,1,walk/bike path
749,1,harvard streets: windsor streetscape
750,1,step
751,1,trip
752,1,huron avenue sidewalk
753,1,walk-bike path
754,1,river
755,1,sidewalk accessibility
756,1,gerry
757,4,road
758,1,bbn
759,1,landing
760,1,stretch
761,1,arlington
762,1,barrier
763,1,guardrail
764,1,pedestrian walkway
765,1,pedestrian connection
766,1,walker
767,1,inventory
768,1,curbcut
769,1,pothole
770,1,garden street
771,1,concord ave
772,1,repave coolidge hill
773,1,coolidge ave
774,1,shady hill school
775,1,curb
776,1,condition
777,1,route
778,1,concord avenue w
779,1,huron ave
780,1,lot
781,3,snow
782,2,street cleaning
783,1,car parking app
784,1,rt. 2
785,1,carpark
786,1,footpath cycle parking
787,1,bike corral
788,1,parking app
789,1,meter
790,1,parking meter
791,1,boston
792,1,pass
793,1,discount
794,2,teen
795,2,t
796,1,senior
797,1,version
798,1,the ride
799,1,noise
800,1,way-finding
801,1,card
802,1,charlie
803,1,snow melter
804,1,support
805,1,snow removal
806,1,side blower
807,1,street snow blower
808,1,snow removal tool
809,1,mat
810,1,heattrack.com
811,1,building construction
812,1,citywide bench program
813,1,bench-a-block
814,1,pedestrian safety
815,1,outreach
816,1,rule
817,1,road sculpture
818,1,traffic garden
819,1,cycletrack
820,1,ames street
821,1,neighborway
822,1,roadway
823,1,foot
824,1,city diesel truck
825,1,work
826,1,flooding
827,1,davi
828,1,eyesore
829,1,wire
830,1,cable
831,1,color printer
832,6,senior center
833,1,computer center
834,1,quote
835,1,little library
836,1,corner
837,1,longfellow road
838,1,middle
839,1,seating area
840,1,graham
841,1,computer acces
842,1,green street
843,1,green space
844,1,triangle
845,1,hampshire
846,1,plymouth street
847,1,staff
848,1,food pantry program
849,1,danehy park playing field
850,1,tesla powerwall
851,1,display art
852,1,floor tile
853,1,floor
854,1,game center
855,1,video game
856,1,area iv youth center
857,1,restoration
858,1,grass
859,1,clement morgan historical marker
860,1,inside
861,1,port - cherry st. lot garden & lopez park
862,1,main
863,1,north cambridge senior center
864,1,mass ave cambridge
865,1,site
866,1,universal design playground
867,1,breastfeeding
868,1,pumping station
869,1,mom
870,1,out of town news
